N_Accidente;Pais;Ciudad;Fecha;Horario_de_ocurrencia;Urbano/Rural;Tipo_de_Camino;Condiciones_climaticas;Numero_de_vehiculos_involucrados ;Velocidad_Limite;Edad_del_conductor;Sexo_del_conductor;Peatones_involucrados;Ciclistas_involucrados ;Accidente_Grave;Numero_de_lesiones;Numero_de_muertes;Causa_del_accidente;Riesgo_peatones;Joven_inexperto
5838;India;Bombay;45608;Manana;Urbano;Calle;Neblinoso;4;67;24;Femenino;2;0;No grave;11;2;Falla tecnica;134;Si
5839;India;Bangalore;45506;Tarde;Urbano;Calle;Despejado;2;30;27;Masculino;1;2;Grave;9;0;Error humano;30;No
5840;India;Bangalore;45382;Noche;Urbano;Carretera;Lluvioso;4;85;70;Femenino;2;0;Grave;5;0;Falla tecnica;170;No
5841;India;Bangalore;45326;Manana;Urbano;Calle;Lluvioso;1;96;31;Femenino;1;2;Grave;14;0;Error humano;96;No
5842;India;Nueva Delhi;45633;Noche;Rural;Calle;Lluvioso;3;106;48;Femenino;1;0;Grave;9;1;Error humano;106;No
5843;India;Chennai;45599;Noche;Urbano;Calle;Lluvioso;3;67;37;Masculino;0;1;No grave;1;1;Clima;0;No
5844;India;Nueva Delhi;45511;Tarde;Rural;Calle;Lluvioso;2;75;66;Femenino;2;1;Grave;11;4;Error humano;150;No
5845;India;Chennai;45356;Noche;Urbano;Calle;Lluvioso;1;108;16;Masculino;1;1;Grave;18;4;Error humano;108;Si
5846;India;Bangalore;45547;Noche;Urbano;Calle;Despejado;2;88;34;Masculino;2;2;Grave;8;4;Clima;176;No
5847;India;Chennai;45572;Noche;Urbano;Calle;Nevoso;1;43;36;Femenino;0;1;Grave;3;2;Clima;0;No
5848;India;Nueva Delhi;45293;Manana;Urbano;Carretera;Lluvioso;3;95;44;Masculino;0;2;Grave;2;3;Error humano;0;No
5849;India;Chennai;45506;Noche;Urbano;Carretera;Neblinoso;3;56;18;Femenino;1;2;No grave;1;0;Error humano;56;Si
5850;India;Bombay;45297;Manana;Urbano;Carretera;Despejado;2;53;52;Masculino;0;1;Grave;1;0;Error humano;0;No
5851;India;Nueva Delhi;45537;Noche;Urbano;Calle;Neblinoso;2;41;16;Femenino;1;0;Grave;12;0;Error humano;41;Si
5852;India;Bangalore;45375;Noche;Urbano;Calle;Lluvioso;1;45;26;Femenino;2;1;Grave;19;3;Error humano;90;No
5853;India;Bangalore;45632;Tarde;Urbano;Carretera;Nevoso;1;117;21;Femenino;0;0;Grave;2;3;Error humano;0;Si
5854;India;Nueva Delhi;45568;Noche;Rural;Carretera;Lluvioso;1;46;42;Masculino;1;2;No grave;15;0;Error humano;46;No
5855;India;Bangalore;45353;Tarde;Urbano;Carretera;Lluvioso;4;43;16;Masculino;0;2;No grave;11;1;Falla tecnica;0;Si
5856;India;Nueva Delhi;45507;Noche;Urbano;Carretera;Neblinoso;1;89;21;Masculino;2;0;Grave;15;3;Error humano;178;Si
5857;India;Nueva Delhi;45416;Tarde;Urbano;Carretera;Despejado;4;78;27;Femenino;1;2;Grave;3;3;Clima;78;No
5858;India;Bombay;45334;Tarde;Urbano;Calle;Lluvioso;2;93;21;Femenino;2;1;Grave;10;2;Falla tecnica;186;Si
5859;India;Bangalore;45632;Noche;Rural;Carretera;Neblinoso;2;69;60;Masculino;1;2;Grave;18;0;Error humano;69;No
5860;India;Bombay;45410;Tarde;Urbano;Calle;Lluvioso;4;78;50;Femenino;1;2;Grave;17;2;Error humano;78;No
5861;India;Bombay;45628;Noche;Urbano;Calle;Nevoso;4;83;22;Femenino;2;2;Grave;11;0;Falla tecnica;166;Si
5862;India;Bombay;45567;Noche;Urbano;Carretera;Lluvioso;2;117;20;Masculino;0;2;Grave;7;0;Error humano;0;Si
5863;India;Nueva Delhi;45445;Manana;Urbano;Carretera;Lluvioso;2;67;25;Masculino;0;2;No grave;5;1;Error humano;0;Si
5864;India;Nueva Delhi;45603;Tarde;Urbano;Carretera;Despejado;4;44;21;Femenino;2;1;Grave;0;2;Error humano;88;Si
5865;India;Bombay;45303;Tarde;Urbano;Calle;Neblinoso;1;57;16;Femenino;1;0;Grave;15;3;Error humano;57;Si
5866;India;Chennai;45414;Tarde;Rural;Carretera;Neblinoso;3;56;64;Masculino;2;1;No grave;2;2;Error humano;112;No
5867;India;Bangalore;45497;Noche;Rural;Carretera;Neblinoso;2;111;71;Masculino;1;1;Grave;4;4;Error humano;111;No
5868;India;Chennai;45571;Tarde;Rural;Carretera;Lluvioso;1;62;41;Masculino;2;1;No grave;10;0;Error humano;124;No
5869;India;Bombay;45479;Noche;Urbano;Carretera;Nevoso;4;45;19;Masculino;2;1;No grave;14;3;Error humano;90;Si
5870;India;Bangalore;45296;Tarde;Rural;Calle;Lluvioso;1;41;36;Femenino;1;2;Grave;2;2;Falla tecnica;41;No
5871;India;Bangalore;45445;Noche;Urbano;Calle;Lluvioso;3;41;63;Femenino;1;2;Grave;19;1;Error humano;41;No
5872;India;Chennai;45334;Manana;Urbano;Carretera;Despejado;2;102;17;Femenino;1;0;Grave;10;0;Error humano;102;Si
5873;India;Chennai;45628;Noche;Urbano;Calle;Lluvioso;1;105;26;Masculino;2;2;Grave;8;1;Error humano;210;No
5874;India;Nueva Delhi;45326;Manana;Rural;Carretera;Neblinoso;2;106;47;Masculino;1;2;Grave;13;0;Error humano;106;No
5875;India;Bangalore;45388;Manana;Rural;Calle;Lluvioso;4;45;48;Femenino;1;2;No grave;5;3;Clima;45;No
5876;India;Nueva Delhi;45537;Noche;Urbano;Calle;Lluvioso;4;40;22;Femenino;2;1;Grave;10;3;Error humano;80;Si
5877;India;Chennai;45475;Tarde;Urbano;Calle;Nevoso;3;99;17;Masculino;0;2;Grave;11;3;Clima;0;Si
5878;India;Bangalore;45567;Noche;Urbano;Calle;Lluvioso;3;58;22;Masculino;0;2;No grave;5;2;Error humano;0;Si
5879;India;Bangalore;45657;Noche;Rural;Calle;Nevoso;3;93;39;Femenino;0;0;Grave;5;3;Clima;0;No
5880;India;Nueva Delhi;45475;Noche;Urbano;Carretera;Nevoso;4;116;37;Masculino;2;0;Grave;15;1;Error humano;232;No
5881;India;Bangalore;45414;Noche;Urbano;Calle;Lluvioso;2;77;20;Femenino;1;0;Grave;14;2;Error humano;77;Si
5882;India;Bombay;45447;Manana;Urbano;Carretera;Despejado;1;38;16;Masculino;1;1;Grave;18;0;Error humano;38;Si
5883;India;Chennai;45322;Tarde;Rural;Calle;Lluvioso;4;92;46;Masculino;1;1;Grave;10;4;Falla tecnica;92;No
5884;India;Bangalore;45363;Noche;Urbano;Calle;Despejado;4;111;43;Masculino;2;0;Grave;9;2;Error humano;222;No
5885;India;Bombay;45633;Noche;Urbano;Carretera;Nevoso;3;55;16;Masculino;0;1;No grave;10;1;Error humano;0;Si
5886;India;Nueva Delhi;45303;Noche;Urbano;Calle;Despejado;4;87;17;Femenino;1;1;Grave;3;2;Error humano;87;Si
5887;India;Bombay;45384;Tarde;Rural;Carretera;Lluvioso;2;89;58;Masculino;0;2;Grave;8;1;Error humano;0;No
5888;India;Chennai;45528;Tarde;Urbano;Carretera;Lluvioso;3;57;66;Masculino;0;1;Grave;18;0;Clima;0;No
5889;India;Chennai;45638;Noche;Urbano;Calle;Despejado;2;40;30;Femenino;2;2;Grave;16;2;Clima;80;No
5890;India;Bangalore;45354;Noche;Rural;Carretera;Neblinoso;1;75;62;Masculino;2;1;Grave;12;2;Error humano;150;No
5891;India;Chennai;45384;Tarde;Urbano;Carretera;Neblinoso;2;108;60;Masculino;1;2;Grave;10;2;Error humano;108;No
5892;India;Chennai;45597;Noche;Urbano;Carretera;Despejado;3;92;74;Femenino;1;2;Grave;6;1;Clima;92;No
5893;India;Bombay;45394;Noche;Rural;Calle;Lluvioso;2;117;51;Masculino;0;0;Grave;17;1;Error humano;0;No
5894;India;Chennai;45650;Tarde;Urbano;Calle;Neblinoso;2;89;22;Masculino;1;0;Grave;5;3;Error humano;89;Si
5895;India;Bangalore;45384;Noche;Urbano;Calle;Lluvioso;2;64;48;Masculino;1;2;Grave;0;1;Error humano;64;No
5896;India;Nueva Delhi;45536;Manana;Urbano;Calle;Lluvioso;1;50;17;Masculino;2;2;Grave;17;2;Error humano;100;Si
5897;India;Bangalore;45475;Noche;Rural;Carretera;Lluvioso;4;32;69;Masculino;1;1;No grave;12;2;Clima;32;No
5898;India;Bombay;45507;Noche;Urbano;Carretera;Lluvioso;1;41;16;Femenino;2;1;Grave;10;1;Falla tecnica;82;Si
5899;India;Bangalore;45334;Noche;Rural;Calle;Neblinoso;4;41;59;Femenino;0;0;No grave;7;0;Error humano;0;No
5900;India;Bangalore;45384;Noche;Urbano;Calle;Nevoso;1;68;47;Masculino;2;1;Grave;7;0;Error humano;136;No
5901;India;Nueva Delhi;45629;Noche;Urbano;Carretera;Neblinoso;2;44;74;Femenino;0;1;Grave;13;2;Falla tecnica;0;No
5902;India;Bangalore;45475;Noche;Rural;Carretera;Lluvioso;2;61;58;Masculino;2;1;No grave;2;1;Falla tecnica;122;No
5903;India;Bombay;45353;Noche;Rural;Carretera;Lluvioso;1;57;63;Femenino;2;1;No grave;0;1;Error humano;114;No
5904;India;Bombay;45355;Noche;Rural;Carretera;Lluvioso;4;37;62;Femenino;0;2;No grave;2;1;Error humano;0;No
5905;India;Nueva Delhi;45443;Noche;Urbano;Calle;Lluvioso;2;67;38;Femenino;1;1;No grave;8;4;Falla tecnica;67;No
5906;India;Chennai;45323;Noche;Urbano;Calle;Lluvioso;4;112;17;Masculino;2;1;Grave;19;4;Error humano;224;Si
5907;India;Bombay;45599;Tarde;Urbano;Calle;Despejado;1;88;18;Femenino;0;2;Grave;15;4;Error humano;0;Si
5908;India;Nueva Delhi;45567;Tarde;Urbano;Calle;Lluvioso;3;74;40;Masculino;0;2;Grave;18;0;Error humano;0;No
5909;India;Nueva Delhi;45598;Noche;Urbano;Calle;Lluvioso;4;34;39;Femenino;1;1;No grave;8;0;Error humano;34;No
5910;India;Bangalore;45567;Noche;Urbano;Calle;Lluvioso;2;48;20;Masculino;0;2;No grave;2;0;Clima;0;Si
5911;India;Nueva Delhi;45630;Noche;Urbano;Calle;Despejado;1;103;30;Masculino;2;0;Grave;4;1;Error humano;206;No
5912;India;Bombay;45474;Tarde;Urbano;Carretera;Lluvioso;4;80;24;Femenino;2;1;Grave;19;2;Error humano;160;Si
5913;India;Chennai;45424;Noche;Urbano;Calle;Neblinoso;2;50;18;Femenino;2;2;Grave;11;1;Error humano;100;Si
5914;India;Nueva Delhi;45480;Noche;Urbano;Carretera;Nevoso;3;56;69;Masculino;0;1;No grave;19;2;Error humano;0;No
5915;India;Bombay;45386;Manana;Rural;Carretera;Despejado;2;63;70;Femenino;2;0;Grave;8;0;Error humano;126;No
5916;India;Bangalore;45467;Tarde;Urbano;Calle;Nevoso;3;96;17;Femenino;1;2;Grave;8;4;Falla tecnica;96;Si
5917;India;Bombay;45596;Tarde;Rural;Carretera;Lluvioso;2;47;39;Femenino;0;0;Grave;19;4;Clima;0;No
5918;India;Bombay;45353;Tarde;Urbano;Calle;Despejado;2;34;28;Femenino;2;2;No grave;14;4;Error humano;68;No
5919;India;Chennai;45477;Noche;Urbano;Calle;Neblinoso;3;67;20;Femenino;1;2;Grave;10;2;Falla tecnica;67;Si
5920;India;Bangalore;45449;Manana;Rural;Carretera;Lluvioso;3;73;75;Femenino;1;0;Grave;5;2;Error humano;73;No
5921;India;Nueva Delhi;45303;Noche;Urbano;Carretera;Lluvioso;3;50;17;Femenino;1;2;No grave;1;4;Clima;50;Si
5922;India;Chennai;45293;Noche;Urbano;Calle;Nevoso;1;118;33;Femenino;2;2;Grave;3;3;Error humano;236;No
5923;India;Bombay;45384;Noche;Urbano;Calle;Neblinoso;1;114;17;Masculino;2;2;Grave;2;1;Error humano;228;Si
5924;India;Bangalore;45537;Noche;Urbano;Carretera;Nevoso;4;63;16;Masculino;2;0;Grave;16;3;Falla tecnica;126;Si
5925;India;Bangalore;45443;Noche;Urbano;Calle;Neblinoso;4;87;25;Femenino;0;1;Grave;2;1;Falla tecnica;0;Si
5926;India;Bombay;45350;Tarde;Rural;Calle;Despejado;4;106;50;Femenino;2;2;Grave;13;4;Error humano;212;No
5927;India;Bangalore;45547;Manana;Urbano;Carretera;Despejado;4;91;67;Masculino;1;1;Grave;17;1;Error humano;91;No
5928;India;Chennai;45329;Tarde;Urbano;Carretera;Lluvioso;2;34;55;Femenino;1;0;Grave;11;2;Error humano;34;No
5929;India;Chennai;45563;Noche;Rural;Calle;Lluvioso;3;107;52;Masculino;2;1;Grave;5;2;Error humano;214;No
5930;India;Bangalore;45325;Noche;Urbano;Carretera;Despejado;2;93;17;Femenino;1;2;Grave;11;1;Clima;93;Si
5931;India;Bombay;45603;Tarde;Urbano;Carretera;Neblinoso;1;99;25;Femenino;2;0;Grave;3;1;Clima;198;Si
5932;India;Bombay;45475;Noche;Urbano;Carretera;Nevoso;3;62;16;Femenino;0;0;Grave;3;1;Error humano;0;Si
5933;India;Bangalore;45510;Tarde;Urbano;Calle;Neblinoso;1;32;17;Masculino;2;1;No grave;12;0;Clima;64;Si
5934;India;Chennai;45630;Manana;Urbano;Calle;Neblinoso;3;61;18;Masculino;2;2;Grave;13;2;Clima;122;Si
5935;India;Bombay;45329;Noche;Urbano;Carretera;Lluvioso;2;109;74;Femenino;1;1;Grave;10;3;Error humano;109;No
5936;India;Chennai;45353;Manana;Rural;Calle;Lluvioso;3;117;41;Femenino;0;2;Grave;9;4;Error humano;0;No
5937;India;Chennai;45424;Noche;Urbano;Carretera;Despejado;1;67;16;Masculino;1;2;No grave;14;3;Error humano;67;Si
5938;India;Bombay;45297;Manana;Urbano;Calle;Neblinoso;1;77;30;Femenino;2;0;Grave;13;0;Clima;154;No
5939;India;Nueva Delhi;45628;Noche;Urbano;Carretera;Nevoso;4;107;50;Femenino;2;2;Grave;12;0;Error humano;214;No
5940;India;Bombay;45631;Manana;Urbano;Calle;Nevoso;3;119;24;Masculino;0;0;Grave;17;2;Error humano;0;Si
5941;India;Chennai;45326;Noche;Urbano;Calle;Despejado;2;30;16;Femenino;2;1;No grave;1;2;Falla tecnica;60;Si
5942;India;Nueva Delhi;45293;Noche;Urbano;Calle;Lluvioso;4;44;69;Masculino;1;2;Grave;6;2;Clima;44;No
5943;India;Bangalore;45326;Noche;Urbano;Calle;Nevoso;2;34;16;Masculino;2;2;Grave;9;0;Error humano;68;Si
5944;India;Nueva Delhi;45638;Noche;Urbano;Carretera;Nevoso;1;88;40;Femenino;2;0;Grave;19;2;Error humano;176;No
5945;India;Bangalore;45419;Manana;Urbano;Carretera;Lluvioso;2;92;23;Femenino;1;2;Grave;2;0;Clima;92;Si
5946;India;Nueva Delhi;45577;Tarde;Urbano;Calle;Lluvioso;4;61;17;Masculino;2;2;No grave;6;0;Error humano;122;Si
5947;India;Bombay;45467;Noche;Urbano;Carretera;Lluvioso;4;97;29;Femenino;2;1;Grave;18;2;Clima;194;No
5948;India;Nueva Delhi;45350;Noche;Rural;Calle;Lluvioso;4;85;51;Masculino;2;2;Grave;12;1;Error humano;170;No
5949;India;Chennai;45293;Manana;Rural;Carretera;Nevoso;4;74;37;Femenino;0;2;Grave;3;0;Error humano;0;No
5950;India;Chennai;45538;Tarde;Urbano;Carretera;Lluvioso;4;107;23;Femenino;1;2;Grave;17;4;Error humano;107;Si
5951;India;Chennai;45424;Tarde;Urbano;Carretera;Lluvioso;2;96;70;Femenino;2;0;Grave;9;0;Falla tecnica;192;No
5952;India;Nueva Delhi;45536;Noche;Urbano;Calle;Lluvioso;1;96;52;Femenino;0;1;Grave;9;2;Falla tecnica;0;No
5953;India;Chennai;45563;Noche;Urbano;Carretera;Despejado;2;102;16;Masculino;0;2;Grave;6;0;Error humano;0;Si
5954;India;Chennai;45353;Tarde;Rural;Carretera;Despejado;4;32;44;Femenino;0;2;Grave;0;0;Error humano;0;No
5955;India;Bombay;45353;Manana;Urbano;Calle;Lluvioso;1;103;17;Masculino;2;2;Grave;9;0;Error humano;206;Si
5956;India;Bombay;45480;Manana;Urbano;Carretera;Neblinoso;4;119;23;Femenino;2;0;Grave;18;0;Error humano;238;Si
5957;India;Bombay;45410;Noche;Urbano;Carretera;Despejado;2;89;17;Femenino;0;0;Grave;10;0;Falla tecnica;0;Si
5958;India;Chennai;45383;Manana;Urbano;Carretera;Lluvioso;3;70;70;Masculino;0;1;No grave;9;2;Error humano;0;No
5959;India;Nueva Delhi;45416;Manana;Urbano;Calle;Lluvioso;1;49;17;Masculino;0;0;Grave;6;1;Falla tecnica;0;Si
5960;India;Nueva Delhi;45516;Noche;Rural;Carretera;Despejado;3;30;70;Femenino;1;2;No grave;12;1;Error humano;30;No
5961;India;Chennai;45353;Tarde;Urbano;Carretera;Lluvioso;2;37;18;Femenino;2;0;No grave;17;2;Clima;74;Si
5962;India;Bangalore;45384;Manana;Urbano;Calle;Nevoso;4;42;16;Masculino;0;1;Grave;11;0;Error humano;0;Si
5963;India;Bangalore;45298;Noche;Rural;Calle;Lluvioso;1;37;75;Femenino;0;0;No grave;15;1;Clima;0;No
5964;India;Bombay;45334;Noche;Urbano;Carretera;Nevoso;2;100;17;Masculino;1;2;Grave;0;1;Error humano;100;Si
5965;India;Chennai;45445;Noche;Urbano;Carretera;Lluvioso;2;117;17;Femenino;2;1;Grave;12;0;Error humano;234;Si
5966;India;Bangalore;45542;Noche;Urbano;Calle;Neblinoso;3;86;75;Femenino;0;0;Grave;13;2;Error humano;0;No
5967;India;Chennai;45628;Noche;Urbano;Calle;Lluvioso;1;46;16;Femenino;1;1;No grave;4;2;Clima;46;Si
5968;India;Chennai;45628;Tarde;Urbano;Calle;Nevoso;1;98;69;Masculino;1;1;Grave;18;1;Error humano;98;No
5969;India;Chennai;45629;Noche;Urbano;Calle;Lluvioso;2;76;33;Femenino;2;2;Grave;18;0;Falla tecnica;152;No
5970;India;Bombay;45443;Tarde;Urbano;Calle;Despejado;2;41;21;Femenino;2;1;Grave;4;2;Error humano;82;Si
5971;India;Bangalore;45506;Tarde;Urbano;Calle;Despejado;3;37;29;Masculino;0;0;Grave;2;3;Clima;0;No
5972;India;Chennai;45353;Noche;Rural;Carretera;Lluvioso;1;39;63;Femenino;1;2;Grave;4;0;Clima;39;No
5973;India;Nueva Delhi;45633;Noche;Urbano;Calle;Lluvioso;1;100;23;Femenino;0;0;Grave;1;3;Error humano;0;Si
5974;India;Nueva Delhi;45632;Noche;Rural;Calle;Lluvioso;1;116;71;Masculino;1;0;Grave;7;1;Error humano;116;No
5975;India;Bombay;45539;Tarde;Urbano;Calle;Neblinoso;3;30;29;Femenino;1;1;Grave;17;2;Error humano;30;No
5976;India;Bangalore;45504;Manana;Urbano;Carretera;Neblinoso;2;83;16;Masculino;0;1;Grave;17;3;Error humano;0;Si
5977;India;Nueva Delhi;45334;Tarde;Urbano;Calle;Lluvioso;1;39;43;Femenino;2;0;No grave;16;4;Falla tecnica;78;No
5978;India;Nueva Delhi;45315;Noche;Rural;Calle;Nevoso;1;113;70;Masculino;2;2;Grave;16;1;Error humano;226;No
5979;India;Chennai;45569;Noche;Urbano;Carretera;Despejado;3;59;17;Masculino;2;0;No grave;0;4;Clima;118;Si
5980;India;Bombay;45353;Manana;Urbano;Carretera;Nevoso;2;77;23;Femenino;0;2;Grave;8;4;Error humano;0;Si
5981;India;Nueva Delhi;45447;Noche;Rural;Calle;Nevoso;1;87;38;Femenino;1;0;Grave;8;3;Error humano;87;No
5982;India;Bombay;45480;Noche;Urbano;Carretera;Lluvioso;4;51;47;Femenino;0;2;No grave;5;2;Error humano;0;No
5983;India;Bombay;45471;Noche;Urbano;Carretera;Lluvioso;4;33;31;Femenino;1;1;Grave;7;0;Falla tecnica;33;No
5984;India;Chennai;45630;Manana;Urbano;Carretera;Despejado;2;88;53;Femenino;1;1;Grave;14;4;Falla tecnica;88;No
5985;India;Chennai;45383;Manana;Urbano;Calle;Lluvioso;2;87;17;Masculino;0;1;Grave;19;3;Clima;0;Si
5986;India;Bangalore;45537;Manana;Urbano;Calle;Nevoso;2;75;42;Femenino;1;0;Grave;6;0;Error humano;75;No
5987;India;Bombay;45535;Noche;Urbano;Calle;Lluvioso;4;81;43;Femenino;0;0;Grave;18;0;Error humano;0;No
5988;India;Chennai;45537;Noche;Urbano;Calle;Neblinoso;2;68;22;Masculino;1;2;Grave;16;0;Error humano;68;Si
5989;India;Chennai;45293;Tarde;Rural;Calle;Lluvioso;2;42;40;Masculino;2;2;Grave;15;2;Clima;84;No
5990;India;Nueva Delhi;45567;Noche;Rural;Carretera;Lluvioso;1;62;75;Masculino;2;1;No grave;2;3;Clima;124;No
5991;India;Bangalore;45566;Noche;Urbano;Carretera;Neblinoso;1;54;17;Masculino;2;2;Grave;19;1;Clima;108;Si
5992;India;Chennai;45537;Tarde;Urbano;Calle;Neblinoso;1;70;55;Femenino;1;0;Grave;5;3;Error humano;70;No
5993;India;Nueva Delhi;45389;Manana;Urbano;Calle;Nevoso;3;117;41;Femenino;1;2;Grave;7;4;Error humano;117;No
5994;India;Bangalore;45424;Noche;Urbano;Calle;Nevoso;1;30;32;Masculino;1;1;No grave;6;2;Error humano;30;No
5995;India;Bombay;45295;Noche;Urbano;Calle;Lluvioso;3;35;21;Femenino;1;1;No grave;11;1;Clima;35;Si
5996;India;Nueva Delhi;45516;Noche;Rural;Carretera;Lluvioso;4;32;61;Femenino;2;2;No grave;7;3;Falla tecnica;64;No
5997;India;Bangalore;45657;Manana;Urbano;Calle;Lluvioso;4;33;16;Femenino;0;1;Grave;4;3;Error humano;0;Si
5998;India;Bombay;45567;Manana;Urbano;Calle;Neblinoso;2;35;26;Masculino;0;1;Grave;9;3;Error humano;0;No
5999;India;Chennai;45384;Noche;Urbano;Calle;Lluvioso;4;58;22;Femenino;0;0;Grave;3;2;Error humano;0;Si
6000;India;Bombay;45293;Manana;Rural;Calle;Lluvioso;1;88;38;Femenino;0;1;Grave;11;0;Error humano;0;No
6001;India;Nueva Delhi;45603;Manana;Urbano;Carretera;Neblinoso;2;119;62;Femenino;2;0;Grave;7;0;Error humano;238;No
6002;India;Nueva Delhi;45511;Manana;Urbano;Carretera;Neblinoso;3;49;22;Femenino;2;1;Grave;1;0;Error humano;98;Si
6003;India;Nueva Delhi;45537;Noche;Urbano;Calle;Neblinoso;2;58;29;Masculino;1;2;Grave;8;0;Error humano;58;No
6004;India;Nueva Delhi;45624;Noche;Rural;Calle;Lluvioso;3;117;57;Femenino;1;1;Grave;5;1;Error humano;117;No
6005;India;Bangalore;45566;Noche;Rural;Carretera;Lluvioso;2;78;71;Masculino;1;0;Grave;1;4;Clima;78;No
6006;India;Chennai;45542;Tarde;Rural;Calle;Lluvioso;2;46;48;Femenino;1;0;Grave;3;2;Error humano;46;No
6007;India;Nueva Delhi;45577;Noche;Urbano;Carretera;Nevoso;3;49;46;Femenino;1;0;Grave;5;1;Clima;49;No
6008;India;Chennai;45416;Noche;Urbano;Calle;Neblinoso;2;53;21;Femenino;1;2;Grave;2;1;Clima;53;Si
6009;India;Bangalore;45657;Noche;Rural;Carretera;Lluvioso;3;38;74;Masculino;0;0;No grave;0;3;Error humano;0;No
6010;India;Chennai;45657;Noche;Urbano;Calle;Lluvioso;4;77;17;Masculino;0;1;Grave;13;1;Error humano;0;Si
6011;India;Nueva Delhi;45567;Noche;Urbano;Calle;Despejado;1;41;17;Femenino;1;1;No grave;16;3;Error humano;41;Si
6012;India;Bangalore;45598;Tarde;Urbano;Calle;Lluvioso;2;100;50;Femenino;2;1;Grave;6;3;Falla tecnica;200;No
6013;India;Bangalore;45471;Noche;Urbano;Calle;Lluvioso;1;55;66;Masculino;2;2;No grave;17;1;Error humano;110;No
6014;India;Chennai;45475;Noche;Urbano;Calle;Lluvioso;4;104;71;Masculino;0;2;Grave;16;2;Error humano;0;No
6015;India;Chennai;45599;Noche;Urbano;Calle;Despejado;2;58;17;Femenino;2;0;No grave;16;1;Error humano;116;Si
6016;India;Bangalore;45375;Noche;Urbano;Carretera;Nevoso;4;36;73;Masculino;1;1;No grave;13;3;Error humano;36;No
6017;India;Bombay;45569;Noche;Urbano;Calle;Nevoso;4;66;30;Masculino;2;0;Grave;19;4;Falla tecnica;132;No
6018;India;Bombay;45384;Manana;Urbano;Calle;Lluvioso;2;45;16;Masculino;2;2;Grave;7;2;Error humano;90;Si
6019;India;Chennai;45657;Manana;Rural;Calle;Nevoso;2;85;54;Femenino;2;0;Grave;8;0;Falla tecnica;170;No
6020;India;Bombay;45602;Manana;Urbano;Carretera;Lluvioso;3;117;19;Femenino;1;0;Grave;2;2;Error humano;117;Si
6021;India;Bangalore;45624;Noche;Urbano;Carretera;Despejado;1;53;17;Masculino;1;1;Grave;16;2;Error humano;53;Si
6022;India;Bangalore;45596;Noche;Urbano;Calle;Lluvioso;3;103;29;Femenino;2;0;Grave;14;3;Error humano;206;No
6023;India;Nueva Delhi;45471;Noche;Urbano;Carretera;Lluvioso;3;58;75;Masculino;1;0;No grave;0;0;Error humano;58;No
6024;India;Bombay;45566;Tarde;Urbano;Calle;Lluvioso;1;75;30;Masculino;0;0;Grave;8;3;Error humano;0;No
6025;India;Chennai;45497;Tarde;Urbano;Calle;Lluvioso;4;66;28;Femenino;2;0;No grave;1;4;Error humano;132;No
6026;India;Chennai;45510;Noche;Urbano;Calle;Neblinoso;4;36;17;Masculino;1;1;No grave;8;3;Error humano;36;Si
6027;India;Chennai;45293;Manana;Urbano;Carretera;Lluvioso;1;30;41;Femenino;1;0;Grave;0;1;Falla tecnica;30;No
6028;India;Chennai;45322;Manana;Urbano;Calle;Lluvioso;4;97;58;Masculino;1;2;Grave;7;0;Error humano;97;No
6029;India;Nueva Delhi;45444;Noche;Rural;Calle;Nevoso;2;32;41;Masculino;1;0;No grave;19;4;Error humano;32;No
6030;India;Bangalore;45628;Manana;Urbano;Calle;Nevoso;1;97;26;Masculino;1;1;Grave;2;3;Error humano;97;No
6031;India;Bombay;45416;Manana;Urbano;Carretera;Lluvioso;2;44;39;Femenino;0;2;Grave;15;4;Error humano;0;No
6032;India;Bombay;45475;Noche;Rural;Carretera;Neblinoso;4;105;67;Femenino;0;2;Grave;15;4;Error humano;0;No
6033;India;Bangalore;45506;Noche;Rural;Calle;Despejado;4;105;41;Femenino;1;2;Grave;13;2;Error humano;105;No
6034;India;Bombay;45540;Tarde;Urbano;Calle;Lluvioso;3;47;17;Masculino;0;2;No grave;13;2;Clima;0;Si
6035;India;Bombay;45535;Noche;Urbano;Carretera;Despejado;2;40;66;Masculino;0;0;No grave;11;3;Falla tecnica;0;No
6036;India;Nueva Delhi;45296;Manana;Rural;Calle;Nevoso;1;118;65;Masculino;0;0;Grave;12;0;Error humano;0;No
6037;India;Bangalore;45293;Noche;Urbano;Carretera;Neblinoso;3;87;62;Femenino;2;2;Grave;12;4;Error humano;174;No
6038;India;Bombay;45471;Manana;Urbano;Calle;Lluvioso;3;93;16;Femenino;0;0;Grave;13;2;Error humano;0;Si
6039;India;Bombay;45547;Tarde;Urbano;Carretera;Lluvioso;1;111;17;Masculino;2;2;Grave;10;4;Error humano;222;Si
6040;India;Chennai;45598;Tarde;Urbano;Carretera;Nevoso;4;78;48;Masculino;1;2;Grave;11;0;Error humano;78;No
6041;India;Bangalore;45568;Tarde;Urbano;Calle;Nevoso;1;72;22;Femenino;0;0;Grave;3;3;Falla tecnica;0;Si
6042;India;Bangalore;45384;Manana;Urbano;Calle;Despejado;4;88;17;Femenino;2;0;Grave;8;4;Error humano;176;Si
6043;India;Bangalore;45510;Manana;Urbano;Carretera;Lluvioso;1;113;53;Masculino;0;0;Grave;10;1;Error humano;0;No
