N_Accidente;Pais;Ciudad;Fecha;Horario_de_ocurrencia;Urbano/Rural;Tipo_de_Camino;Condiciones_climaticas;Numero_de_vehiculos_involucrados ;Velocidad_Limite;Edad_del_conductor;Sexo_del_conductor;Peatones_involucrados;Ciclistas_involucrados ;Gravedad_del_accidente;Numero_de_lesiones;Numero_de_muertes;Causa_del_accidente
4952;India;Nueva Delhi;02-07-2022;Noche;Rural;Carretera principal;Ventoso;1;116;56;Femenino;2;2;No Grave;8;1;Falla mecanica
4953;India;Nueva Delhi;05-01-2022;Noche;Urbano;Carretera;Nevoso;3;117;74;Masculino;1;1;Grave;8;4;Exceso de velocidad
4954;India;Nueva Delhi;02-09-2022;Noche;Urbano;Carretera principal;Despejado;2;76;16;Masculino;2;2;Grave;17;0;Clima
4955;India;Chennai;01-07-2022;Noche;Urbano;Calle;Nevoso;2;64;17;Femenino;2;0;No Grave;15;2;Conducir distraido
4956;India;Nueva Delhi;02-05-2022;Manana;Rural;Carretera principal;Despejado;3;59;23;Femenino;0;2;No Grave;1;3;Conducir distraido
4957;India;Bombay;24-08-2022;Noche;Urbano;Carretera principal;Nevoso;4;33;17;Femenino;1;1;No Grave;5;0;Conducir distraido
4958;India;Bangalore;02-10-2022;Manana;Urbano;Carretera;Lluvioso;1;44;53;Masculino;2;1;Grave;9;1;Conducir en estado de ebriedad
4959;India;Chennai;12-02-2022;Manana;Urbano;Carretera;Ventoso;2;119;70;Masculino;2;0;Grave;19;4;Conducir distraido
4960;India;Bombay;06-05-2022;Tarde;Rural;Calle;Nevoso;3;94;62;Femenino;2;2;Grave;5;0;Clima
4961;India;Bangalore;06-12-2022;Noche;Urbano;Carretera;Lluvioso;2;101;16;Femenino;0;1;Grave;15;4;Clima
4962;India;Chennai;04-06-2022;Manana;Rural;Carretera principal;Despejado;3;109;31;Masculino;0;1;No Grave;16;1;Conducir distraido
4963;India;Chennai;01-01-2022;Noche;Rural;Carretera principal;Ventoso;3;34;58;Masculino;0;1;No Grave;9;3;Conducir en estado de ebriedad
4964;India;Bombay;02-06-2022;Manana;Rural;Carretera;Despejado;3;69;27;Femenino;1;2;Grave;15;1;Conducir distraido
4965;India;Nueva Delhi;06-07-2022;Noche;Rural;Calle;Lluvioso;1;112;26;Femenino;2;2;Grave;0;1;Clima
4966;India;Chennai;02-06-2022;Tarde;Urbano;Calle;Neblinoso;2;73;24;Masculino;1;2;Grave;8;2;Falla mecanica
4967;India;Nueva Delhi;03-05-2022;Manana;Rural;Calle;Lluvioso;3;45;28;Masculino;0;0;No Grave;16;3;Conducir en estado de ebriedad
4968;India;Bangalore;03-12-2022;Noche;Rural;Carretera;Ventoso;4;42;37;Masculino;2;0;No Grave;17;3;Conducir en estado de ebriedad
4969;India;Nueva Delhi;02-11-2022;Noche;Urbano;Carretera;Lluvioso;3;112;66;Femenino;0;2;Grave;9;0;Conducir distraido
4970;India;Bangalore;01-10-2022;Noche;Urbano;Calle;Neblinoso;4;95;17;Femenino;1;2;Grave;7;4;Falla mecanica
4971;India;Nueva Delhi;02-08-2022;Noche;Rural;Calle;Lluvioso;1;40;16;Femenino;2;0;Grave;15;1;Falla mecanica
4972;India;Nueva Delhi;02-10-2022;Noche;Rural;Calle;Neblinoso;4;45;20;Femenino;0;2;Grave;15;4;Falla mecanica
4973;India;Nueva Delhi;12-08-2022;Tarde;Rural;Calle;Neblinoso;4;103;28;Femenino;0;1;No Grave;13;3;Conducir en estado de ebriedad
4974;India;Chennai;02-02-2022;Noche;Rural;Carretera;Nevoso;4;115;16;Femenino;0;2;Grave;2;4;Clima
4975;India;Chennai;31-07-2022;Noche;Rural;Carretera;Lluvioso;2;82;75;Masculino;2;0;Grave;1;0;Conducir en estado de ebriedad
4976;India;Bombay;02-05-2022;Tarde;Rural;Carretera principal;Nevoso;1;103;36;Masculino;0;2;No Grave;19;0;Conducir en estado de ebriedad
4977;India;Bangalore;28-02-2022;Noche;Rural;Calle;Ventoso;2;37;26;Masculino;1;2;No Grave;18;2;Clima
4978;India;Nueva Delhi;02-08-2022;Noche;Urbano;Carretera principal;Despejado;4;60;72;Femenino;0;2;Grave;8;3;Exceso de velocidad
4979;India;Chennai;24-02-2022;Noche;Rural;Carretera principal;Lluvioso;4;53;53;Femenino;0;1;No Grave;12;3;Falla mecanica
4980;India;Bombay;07-11-2022;Manana;Urbano;Carretera;Ventoso;2;91;22;Masculino;0;1;No Grave;15;4;Exceso de velocidad
4981;India;Chennai;07-12-2022;Tarde;Rural;Carretera principal;Neblinoso;3;49;71;Masculino;0;2;No Grave;7;4;Exceso de velocidad
4982;India;Bombay;02-05-2022;Manana;Rural;Carretera;Neblinoso;1;118;51;Masculino;0;2;Grave;9;2;Exceso de velocidad
4983;India;Bombay;05-12-2022;Manana;Rural;Carretera principal;Neblinoso;4;94;24;Masculino;1;0;Grave;11;1;Falla mecanica
4984;India;Nueva Delhi;04-03-2022;Noche;Urbano;Carretera principal;Despejado;2;31;25;Masculino;0;0;Grave;7;4;Clima
4985;India;Bangalore;31-01-2022;Tarde;Urbano;Carretera;Despejado;4;95;19;Masculino;1;0;No Grave;6;3;Falla mecanica
4986;India;Nueva Delhi;12-11-2022;Noche;Urbano;Carretera;Nevoso;2;100;46;Masculino;2;1;No Grave;7;0;Falla mecanica
4987;India;Chennai;28-06-2022;Manana;Rural;Carretera principal;Ventoso;2;43;72;Masculino;1;1;Grave;1;1;Exceso de velocidad
4988;India;Bombay;02-12-2022;Noche;Urbano;Carretera principal;Nevoso;4;44;58;Femenino;1;2;Grave;5;3;Exceso de velocidad
4989;India;Bangalore;02-06-2022;Noche;Rural;Carretera principal;Lluvioso;4;116;29;Masculino;0;2;Grave;10;1;Exceso de velocidad
4990;India;Nueva Delhi;02-05-2022;Tarde;Urbano;Carretera principal;Lluvioso;3;49;20;Masculino;2;0;No Grave;2;1;Falla mecanica
4991;India;Chennai;02-05-2022;Noche;Urbano;Calle;Neblinoso;4;115;27;Masculino;0;0;Grave;5;2;Exceso de velocidad
4992;India;Nueva Delhi;12-01-2022;Tarde;Rural;Carretera principal;Ventoso;1;57;17;Femenino;0;2;Grave;7;4;Clima
4993;India;Bangalore;04-11-2022;Manana;Rural;Carretera principal;Neblinoso;1;62;48;Masculino;0;2;Grave;13;1;Conducir distraido
4994;India;Bombay;02-11-2022;Noche;Urbano;Calle;Nevoso;2;55;17;Femenino;1;0;Grave;12;0;Conducir en estado de ebriedad
4995;India;Bangalore;24-01-2022;Noche;Urbano;Carretera principal;Nevoso;4;88;24;Femenino;0;1;Grave;8;2;Clima
4996;India;Chennai;12-09-2022;Noche;Rural;Carretera principal;Nevoso;4;75;35;Masculino;2;1;Grave;16;4;Clima
4997;India;Bombay;02-09-2022;Noche;Rural;Carretera principal;Ventoso;2;107;60;Femenino;2;2;No Grave;6;1;Conducir en estado de ebriedad
4998;India;Chennai;02-12-2022;Manana;Rural;Carretera principal;Nevoso;2;41;23;Masculino;0;1;Grave;17;4;Exceso de velocidad
4999;India;Nueva Delhi;28-06-2022;Manana;Urbano;Carretera principal;Neblinoso;2;102;35;Femenino;1;0;Grave;17;1;Clima
5000;India;Chennai;02-09-2022;Noche;Rural;Calle;Lluvioso;1;67;33;Masculino;0;0;No Grave;15;3;Clima
5001;India;Bombay;12-12-2022;Noche;Urbano;Carretera;Despejado;3;76;20;Femenino;1;1;Grave;4;3;Falla mecanica
5002;India;Bangalore;12-09-2022;Manana;Rural;Carretera;Despejado;4;91;29;Femenino;2;0;Grave;2;1;Falla mecanica
5003;India;Bangalore;31-05-2022;Tarde;Rural;Calle;Neblinoso;3;101;74;Masculino;0;1;Grave;10;0;Exceso de velocidad
5004;India;Bangalore;31-03-2022;Tarde;Rural;Calle;Neblinoso;3;88;70;Femenino;0;1;Grave;11;0;Conducir distraido
5005;India;Bombay;05-10-2022;Noche;Rural;Carretera principal;Lluvioso;2;70;17;Femenino;1;1;Grave;3;4;Exceso de velocidad
5006;India;Bangalore;02-07-2022;Manana;Rural;Calle;Lluvioso;1;114;17;Femenino;0;1;No Grave;3;3;Exceso de velocidad
5007;India;Chennai;02-02-2022;Noche;Urbano;Calle;Despejado;1;95;17;Femenino;0;2;Grave;15;4;Clima
5008;India;Nueva Delhi;04-06-2022;Tarde;Rural;Carretera;Despejado;2;76;56;Masculino;1;0;No Grave;13;1;Falla mecanica
5009;India;Bangalore;12-03-2022;Tarde;Urbano;Carretera;Lluvioso;4;59;17;Femenino;2;2;No Grave;4;4;Clima
5010;India;Nueva Delhi;05-09-2022;Manana;Urbano;Calle;Lluvioso;4;59;75;Masculino;2;0;Grave;16;0;Clima
5011;India;Chennai;01-05-2022;Tarde;Urbano;Carretera;Neblinoso;1;64;16;Femenino;1;2;No Grave;10;0;Exceso de velocidad
5012;India;Chennai;02-09-2022;Tarde;Rural;Carretera principal;Nevoso;4;65;71;Femenino;1;1;Grave;5;3;Conducir distraido
5013;India;Bombay;05-10-2022;Noche;Urbano;Carretera;Despejado;4;64;35;Femenino;2;1;Grave;19;0;Falla mecanica
5014;India;Bombay;02-12-2022;Tarde;Urbano;Carretera principal;Ventoso;2;46;57;Masculino;0;1;Grave;18;3;Exceso de velocidad
5015;India;Bombay;02-02-2022;Noche;Urbano;Carretera principal;Lluvioso;3;90;34;Femenino;0;2;Grave;10;4;Clima
5016;India;Bombay;03-06-2022;Noche;Urbano;Carretera;Despejado;3;110;26;Femenino;2;0;Grave;1;2;Conducir en estado de ebriedad
5017;India;Nueva Delhi;04-11-2022;Manana;Rural;Carretera;Neblinoso;4;114;67;Femenino;0;0;Grave;5;0;Conducir en estado de ebriedad
5018;India;Bombay;05-01-2022;Noche;Urbano;Calle;Neblinoso;1;40;21;Masculino;1;2;Grave;19;4;Clima
5019;India;Bombay;31-05-2022;Manana;Rural;Calle;Nevoso;3;93;18;Masculino;1;1;Grave;10;0;Clima
5020;India;Nueva Delhi;05-01-2022;Noche;Urbano;Carretera principal;Despejado;3;100;62;Femenino;1;2;No Grave;19;4;Conducir en estado de ebriedad
5021;India;Chennai;03-01-2022;Tarde;Rural;Carretera principal;Lluvioso;4;87;18;Masculino;2;1;Grave;6;1;Exceso de velocidad
5022;India;Chennai;28-04-2022;Noche;Urbano;Calle;Nevoso;3;103;17;Femenino;1;2;No Grave;17;2;Conducir en estado de ebriedad
5023;India;Bombay;04-03-2022;Manana;Rural;Calle;Ventoso;3;116;17;Femenino;1;0;Grave;17;3;Conducir distraido
5024;India;Chennai;04-04-2022;Tarde;Urbano;Carretera principal;Ventoso;1;85;16;Femenino;1;1;No Grave;14;0;Clima
5025;India;Bombay;03-06-2022;Manana;Rural;Calle;Nevoso;4;103;41;Femenino;2;2;No Grave;18;3;Conducir distraido
5026;India;Bombay;12-10-2022;Tarde;Rural;Calle;Nevoso;3;50;22;Femenino;2;1;Grave;17;3;Conducir distraido
5027;India;Chennai;01-10-2022;Tarde;Rural;Carretera principal;Nevoso;4;77;46;Masculino;2;0;Grave;6;4;Falla mecanica
5028;India;Bombay;02-11-2022;Noche;Rural;Carretera principal;Lluvioso;4;58;16;Femenino;2;1;Grave;6;2;Falla mecanica
5029;India;Bombay;02-02-2022;Tarde;Rural;Carretera principal;Neblinoso;1;113;75;Femenino;0;1;Grave;12;3;Conducir en estado de ebriedad
5030;India;Nueva Delhi;28-11-2022;Noche;Rural;Calle;Despejado;3;56;51;Masculino;2;0;No Grave;10;2;Conducir en estado de ebriedad
5031;India;Bangalore;04-09-2022;Noche;Rural;Carretera;Neblinoso;2;63;62;Femenino;2;1;Grave;7;3;Conducir en estado de ebriedad
5032;India;Bangalore;04-10-2022;Tarde;Urbano;Calle;Ventoso;3;35;73;Masculino;0;1;Grave;13;2;Conducir en estado de ebriedad
5033;India;Nueva Delhi;24-06-2022;Noche;Rural;Carretera;Ventoso;4;95;67;Femenino;2;0;No Grave;13;2;Conducir distraido
5034;India;Bombay;05-03-2022;Noche;Rural;Calle;Despejado;3;108;18;Masculino;1;0;No Grave;10;0;Conducir distraido
5035;India;Chennai;02-06-2022;Noche;Urbano;Carretera;Nevoso;3;69;21;Femenino;1;1;Grave;15;3;Conducir en estado de ebriedad
5036;India;Nueva Delhi;03-07-2022;Noche;Urbano;Calle;Lluvioso;2;108;20;Masculino;1;2;No Grave;19;3;Conducir en estado de ebriedad
5037;India;Bombay;02-01-2022;Manana;Urbano;Carretera principal;Neblinoso;4;91;18;Femenino;1;2;Grave;16;0;Conducir distraido
5038;India;Bombay;12-07-2022;Noche;Urbano;Carretera;Neblinoso;3;63;21;Masculino;0;1;Grave;10;3;Conducir distraido
5039;India;Chennai;06-03-2022;Noche;Urbano;Carretera principal;Nevoso;4;111;16;Femenino;2;2;Grave;8;4;Conducir distraido
5040;India;Chennai;02-10-2022;Tarde;Rural;Calle;Lluvioso;2;38;16;Femenino;0;0;Grave;18;3;Falla mecanica
5041;India;Chennai;24-03-2022;Manana;Urbano;Carretera principal;Ventoso;4;66;24;Femenino;1;2;Grave;2;2;Clima
5042;India;Chennai;06-10-2022;Noche;Urbano;Carretera;Nevoso;4;49;56;Femenino;0;0;Grave;6;1;Conducir distraido
5043;India;Chennai;02-08-2022;Noche;Rural;Calle;Nevoso;2;119;63;Femenino;1;2;Grave;17;2;Exceso de velocidad
5044;India;Chennai;12-12-2022;Noche;Urbano;Carretera;Neblinoso;4;94;72;Masculino;1;1;Grave;18;1;Conducir distraido
5045;India;Bangalore;03-01-2022;Manana;Rural;Carretera;Nevoso;4;116;33;Femenino;0;0;Grave;3;4;Conducir distraido
5046;India;Bombay;02-08-2022;Tarde;Rural;Carretera;Despejado;1;97;17;Masculino;0;1;Grave;7;3;Falla mecanica
5047;India;Chennai;02-06-2022;Tarde;Rural;Calle;Neblinoso;4;49;55;Masculino;2;2;Grave;17;3;Conducir distraido
5048;India;Bombay;12-09-2022;Noche;Rural;Carretera principal;Lluvioso;4;112;71;Femenino;2;1;No Grave;14;0;Conducir distraido
5049;India;Bangalore;12-10-2022;Noche;Urbano;Calle;Neblinoso;4;47;55;Masculino;0;0;No Grave;7;0;Falla mecanica
5050;India;Bangalore;31-03-2022;Noche;Urbano;Carretera;Nevoso;3;72;17;Masculino;0;2;Grave;8;2;Conducir distraido
5051;India;Bombay;31-10-2022;Noche;Rural;Carretera;Ventoso;3;74;17;Masculino;1;1;Grave;1;3;Falla mecanica
5052;India;Chennai;03-06-2022;Manana;Urbano;Calle;Ventoso;2;108;16;Femenino;0;0;No Grave;9;2;Falla mecanica
5053;India;Chennai;01-07-2022;Noche;Urbano;Calle;Lluvioso;2;63;71;Masculino;0;2;Grave;4;2;Falla mecanica
5054;India;Bombay;02-03-2022;Noche;Rural;Calle;Neblinoso;4;39;64;Masculino;2;0;No Grave;7;4;Conducir en estado de ebriedad
5055;India;Bangalore;28-11-2022;Tarde;Urbano;Calle;Lluvioso;1;76;16;Femenino;0;2;No Grave;2;4;Falla mecanica
5056;India;Bangalore;01-03-2022;Noche;Rural;Carretera principal;Lluvioso;2;89;16;Femenino;2;0;Grave;3;1;Falla mecanica
5057;India;Bangalore;06-08-2022;Manana;Rural;Calle;Ventoso;4;100;72;Femenino;1;1;No Grave;16;2;Conducir en estado de ebriedad
5058;India;Nueva Delhi;05-08-2022;Tarde;Urbano;Carretera;Neblinoso;3;44;19;Femenino;2;0;Grave;3;2;Falla mecanica
5059;India;Bangalore;06-08-2022;Noche;Rural;Carretera principal;Despejado;2;64;61;Femenino;1;1;Grave;7;3;Conducir distraido
5060;India;Nueva Delhi;28-11-2022;Tarde;Rural;Carretera principal;Ventoso;4;112;57;Masculino;2;0;Grave;7;1;Exceso de velocidad
5061;India;Chennai;02-06-2022;Noche;Urbano;Calle;Despejado;2;118;22;Masculino;0;1;Grave;16;3;Clima
5062;India;Nueva Delhi;31-10-2022;Noche;Urbano;Carretera principal;Nevoso;4;63;17;Masculino;0;0;Grave;7;4;Exceso de velocidad
5063;India;Bombay;03-06-2022;Tarde;Rural;Carretera principal;Nevoso;1;86;65;Masculino;0;1;Grave;13;0;Falla mecanica
5064;India;Bombay;02-07-2022;Noche;Urbano;Calle;Ventoso;1;64;26;Masculino;1;2;No Grave;12;4;Falla mecanica
5065;India;Chennai;24-01-2022;Manana;Rural;Calle;Ventoso;3;47;42;Femenino;2;2;Grave;7;1;Conducir distraido
5066;India;Bombay;03-01-2022;Noche;Urbano;Carretera principal;Despejado;4;101;23;Femenino;0;0;No Grave;16;3;Conducir en estado de ebriedad
5067;India;Bombay;12-09-2022;Manana;Rural;Carretera principal;Nevoso;4;46;53;Masculino;1;2;Grave;13;3;Exceso de velocidad
5068;India;Bangalore;07-01-2022;Manana;Urbano;Carretera;Ventoso;2;75;48;Masculino;0;0;Grave;19;4;Conducir distraido
5069;India;Bangalore;12-02-2022;Noche;Rural;Carretera principal;Nevoso;4;76;17;Masculino;1;0;Grave;13;2;Falla mecanica
5070;India;Bombay;04-10-2022;Noche;Rural;Carretera;Ventoso;1;105;64;Femenino;2;1;Grave;4;1;Falla mecanica
5071;India;Nueva Delhi;02-07-2022;Noche;Urbano;Calle;Despejado;4;100;41;Femenino;1;2;Grave;4;1;Conducir distraido
5072;India;Chennai;03-11-2022;Manana;Rural;Calle;Lluvioso;3;91;16;Femenino;2;0;Grave;17;0;Conducir distraido
5073;India;Bangalore;07-02-2022;Tarde;Rural;Calle;Neblinoso;1;111;64;Masculino;1;2;Grave;8;0;Exceso de velocidad
5074;India;Nueva Delhi;28-06-2022;Tarde;Rural;Carretera;Ventoso;3;95;46;Femenino;0;1;Grave;12;0;Clima
5075;India;Chennai;03-09-2022;Tarde;Urbano;Carretera principal;Lluvioso;1;102;39;Femenino;1;0;No Grave;19;4;Falla mecanica
5076;India;Nueva Delhi;03-12-2022;Noche;Urbano;Carretera principal;Lluvioso;2;94;24;Femenino;0;2;No Grave;19;1;Conducir distraido
5077;India;Nueva Delhi;31-07-2022;Noche;Urbano;Calle;Lluvioso;4;98;24;Masculino;0;0;Grave;10;3;Exceso de velocidad
5078;India;Nueva Delhi;01-07-2022;Noche;Rural;Calle;Nevoso;2;103;17;Masculino;2;1;No Grave;16;2;Conducir distraido
5079;India;Chennai;02-03-2022;Manana;Urbano;Carretera principal;Neblinoso;2;33;66;Masculino;2;0;Grave;8;3;Falla mecanica
5080;India;Chennai;07-07-2022;Tarde;Rural;Calle;Nevoso;2;77;25;Femenino;1;1;No Grave;17;1;Conducir distraido
5081;India;Nueva Delhi;28-04-2022;Manana;Urbano;Carretera principal;Despejado;3;32;48;Masculino;2;2;Grave;16;3;Conducir distraido
5082;India;Chennai;07-08-2022;Noche;Rural;Calle;Nevoso;4;61;64;Femenino;1;0;No Grave;18;4;Clima
5083;India;Bombay;12-05-2022;Noche;Urbano;Calle;Lluvioso;1;83;42;Femenino;0;1;Grave;14;0;Conducir en estado de ebriedad
5084;India;Bangalore;02-10-2022;Manana;Urbano;Carretera;Ventoso;2;58;21;Masculino;2;2;No Grave;13;3;Conducir distraido
5085;India;Bombay;07-07-2022;Noche;Urbano;Carretera;Neblinoso;3;62;47;Femenino;0;0;No Grave;16;2;Clima
5086;India;Bombay;07-08-2022;Noche;Rural;Carretera;Despejado;4;96;65;Masculino;2;0;Grave;12;4;Conducir en estado de ebriedad
5087;India;Bombay;31-07-2022;Manana;Rural;Carretera principal;Despejado;4;76;19;Femenino;2;1;No Grave;15;2;Conducir en estado de ebriedad
5088;India;Nueva Delhi;31-07-2022;Noche;Urbano;Carretera principal;Ventoso;3;93;56;Masculino;1;0;No Grave;3;0;Exceso de velocidad
5089;India;Nueva Delhi;02-01-2022;Manana;Urbano;Carretera;Lluvioso;2;75;59;Masculino;1;2;Grave;10;2;Conducir distraido
5090;India;Bangalore;02-07-2022;Noche;Urbano;Carretera;Nevoso;3;34;23;Femenino;2;1;Grave;12;4;Exceso de velocidad
5091;India;Nueva Delhi;12-06-2022;Noche;Rural;Carretera;Despejado;3;105;17;Masculino;2;2;No Grave;12;4;Conducir distraido
5092;India;Bangalore;31-12-2022;Tarde;Rural;Carretera;Despejado;4;50;73;Masculino;1;2;Grave;9;3;Conducir en estado de ebriedad
5093;India;Bangalore;04-10-2022;Noche;Rural;Calle;Despejado;4;65;25;Masculino;1;2;Grave;13;0;Conducir distraido
5094;India;Bombay;03-10-2022;Noche;Urbano;Carretera;Ventoso;2;37;23;Masculino;2;2;Grave;15;0;Conducir distraido
5095;India;Bombay;31-01-2022;Tarde;Urbano;Calle;Lluvioso;2;116;33;Masculino;2;1;Grave;7;0;Falla mecanica
5096;India;Bombay;03-10-2022;Noche;Rural;Carretera;Lluvioso;4;119;25;Masculino;1;2;Grave;12;1;Exceso de velocidad
5097;India;Nueva Delhi;02-03-2022;Noche;Urbano;Carretera;Nevoso;1;107;17;Masculino;0;0;No Grave;18;2;Conducir en estado de ebriedad
5098;India;Chennai;31-01-2022;Tarde;Rural;Carretera principal;Lluvioso;2;37;72;Masculino;0;0;Grave;14;0;Exceso de velocidad
5099;India;Bombay;31-03-2022;Tarde;Rural;Calle;Despejado;3;56;16;Masculino;2;0;Grave;9;3;Falla mecanica
5100;India;Bombay;02-05-2022;Tarde;Rural;Carretera principal;Nevoso;2;75;25;Femenino;1;1;No Grave;4;2;Falla mecanica
5101;India;Bangalore;06-11-2022;Noche;Rural;Carretera;Neblinoso;3;114;18;Masculino;1;0;Grave;5;2;Clima
5102;India;Chennai;03-07-2022;Manana;Urbano;Carretera;Ventoso;1;41;30;Femenino;2;2;Grave;18;4;Conducir en estado de ebriedad
5103;India;Bangalore;02-11-2022;Noche;Urbano;Calle;Nevoso;2;98;25;Femenino;0;0;Grave;13;3;Conducir distraido
5104;India;Nueva Delhi;03-09-2022;Noche;Urbano;Carretera;Despejado;3;62;23;Femenino;2;0;Grave;5;0;Clima
5105;India;Nueva Delhi;02-06-2022;Manana;Urbano;Carretera;Ventoso;3;98;66;Femenino;1;2;No Grave;6;4;Clima
5106;India;Bangalore;02-10-2022;Noche;Urbano;Carretera principal;Ventoso;1;42;72;Masculino;0;1;Grave;11;2;Clima
5107;India;Chennai;01-06-2022;Manana;Rural;Calle;Nevoso;1;45;32;Masculino;2;1;No Grave;6;0;Exceso de velocidad
5108;India;Chennai;06-07-2022;Tarde;Urbano;Calle;Lluvioso;4;65;16;Masculino;1;0;Grave;17;0;Conducir en estado de ebriedad
5109;India;Nueva Delhi;31-12-2022;Tarde;Rural;Calle;Despejado;2;44;33;Masculino;0;0;Grave;3;3;Exceso de velocidad
5110;India;Chennai;01-11-2022;Tarde;Rural;Carretera;Ventoso;1;30;16;Femenino;0;2;No Grave;8;3;Conducir distraido
5111;India;Bangalore;03-05-2022;Tarde;Urbano;Carretera;Ventoso;2;95;17;Femenino;0;0;Grave;6;2;Falla mecanica
5112;India;Bangalore;28-06-2022;Tarde;Rural;Carretera principal;Despejado;4;96;17;Femenino;0;2;No Grave;0;3;Falla mecanica
5113;India;Bombay;31-03-2022;Manana;Urbano;Carretera principal;Neblinoso;4;109;32;Femenino;2;1;No Grave;3;3;Conducir distraido
5114;India;Bangalore;01-02-2022;Noche;Rural;Carretera;Despejado;2;34;37;Masculino;0;1;Grave;1;1;Conducir en estado de ebriedad
5115;India;Chennai;05-08-2022;Noche;Urbano;Carretera principal;Neblinoso;2;99;48;Femenino;0;2;Grave;9;0;Falla mecanica
5116;India;Bangalore;24-07-2022;Noche;Urbano;Carretera;Ventoso;2;41;25;Masculino;0;2;Grave;1;2;Clima
5117;India;Chennai;31-08-2022;Tarde;Urbano;Calle;Nevoso;2;70;17;Femenino;2;2;No Grave;16;0;Falla mecanica
5118;India;Bombay;05-07-2022;Noche;Rural;Carretera;Neblinoso;3;102;20;Masculino;1;2;No Grave;17;4;Exceso de velocidad
5119;India;Chennai;02-04-2022;Noche;Rural;Carretera principal;Ventoso;3;109;67;Masculino;1;0;Grave;11;4;Exceso de velocidad
5120;India;Bangalore;02-03-2022;Tarde;Urbano;Carretera;Lluvioso;2;63;16;Femenino;0;0;Grave;14;1;Exceso de velocidad
5121;India;Bombay;04-12-2022;Noche;Rural;Carretera;Despejado;3;55;16;Masculino;0;0;No Grave;3;2;Conducir en estado de ebriedad
5122;India;Chennai;06-09-2022;Noche;Rural;Carretera principal;Nevoso;1;76;41;Masculino;0;2;Grave;16;0;Conducir distraido
5123;India;Bangalore;28-04-2022;Noche;Urbano;Calle;Nevoso;1;89;19;Femenino;0;2;Grave;8;4;Clima
5124;India;Nueva Delhi;05-02-2022;Noche;Rural;Calle;Despejado;3;85;20;Femenino;0;2;No Grave;17;0;Falla mecanica
5125;India;Nueva Delhi;31-07-2022;Manana;Urbano;Carretera;Nevoso;3;72;47;Masculino;2;1;No Grave;8;3;Conducir distraido
5126;India;Nueva Delhi;06-12-2022;Noche;Urbano;Calle;Lluvioso;1;40;16;Femenino;1;1;Grave;14;0;Conducir distraido
5127;India;Nueva Delhi;28-09-2022;Noche;Rural;Carretera principal;Despejado;4;38;21;Femenino;0;0;Grave;4;0;Clima
5128;India;Chennai;12-12-2022;Noche;Rural;Carretera principal;Ventoso;4;30;20;Masculino;1;1;Grave;10;4;Exceso de velocidad
5129;India;Chennai;31-10-2022;Tarde;Rural;Carretera principal;Lluvioso;1;78;55;Masculino;2;1;No Grave;16;2;Conducir distraido
5130;India;Bombay;06-06-2022;Manana;Rural;Carretera;Ventoso;3;103;33;Femenino;2;0;Grave;16;0;Clima
5131;India;Chennai;31-10-2022;Noche;Urbano;Carretera;Neblinoso;1;73;63;Masculino;0;1;Grave;19;0;Clima
5132;India;Nueva Delhi;05-06-2022;Noche;Urbano;Carretera principal;Lluvioso;4;45;17;Femenino;1;2;No Grave;12;2;Exceso de velocidad
5133;India;Bangalore;07-07-2022;Noche;Rural;Carretera principal;Nevoso;2;34;36;Masculino;0;2;Grave;3;4;Clima
5134;India;Bombay;12-05-2022;Noche;Rural;Carretera principal;Nevoso;4;81;17;Masculino;2;1;Grave;15;4;Clima
5135;India;Nueva Delhi;01-07-2022;Tarde;Rural;Carretera;Neblinoso;4;37;33;Masculino;2;0;Grave;2;3;Clima
5136;India;Nueva Delhi;02-04-2022;Manana;Urbano;Carretera principal;Ventoso;3;91;19;Masculino;1;1;Grave;16;0;Falla mecanica
5137;India;Bangalore;05-07-2022;Noche;Rural;Calle;Ventoso;4;82;72;Femenino;2;2;Grave;9;3;Conducir distraido
5138;India;Nueva Delhi;07-12-2022;Noche;Urbano;Carretera principal;Ventoso;1;47;63;Masculino;2;1;Grave;12;3;Conducir distraido
5139;India;Nueva Delhi;05-03-2022;Noche;Rural;Calle;Nevoso;1;49;72;Femenino;0;1;Grave;10;0;Exceso de velocidad
5140;India;Bangalore;02-03-2022;Manana;Rural;Carretera;Nevoso;4;100;63;Masculino;2;1;Grave;16;4;Conducir en estado de ebriedad
5141;India;Bombay;01-02-2022;Tarde;Urbano;Calle;Nevoso;4;79;74;Femenino;2;2;Grave;18;2;Conducir en estado de ebriedad
5142;India;Nueva Delhi;03-01-2022;Noche;Urbano;Calle;Lluvioso;2;67;75;Masculino;1;0;No Grave;3;2;Exceso de velocidad
5143;India;Bombay;05-07-2022;Tarde;Rural;Carretera;Despejado;3;78;17;Femenino;1;1;Grave;10;3;Conducir distraido
5144;India;Bombay;02-03-2022;Tarde;Rural;Calle;Neblinoso;3;91;62;Masculino;0;2;Grave;13;2;Conducir en estado de ebriedad
5145;India;Nueva Delhi;07-04-2022;Tarde;Urbano;Carretera;Despejado;3;35;21;Masculino;2;0;Grave;12;4;Exceso de velocidad
5146;India;Chennai;04-04-2022;Noche;Rural;Carretera;Despejado;1;65;54;Masculino;0;0;Grave;6;1;Falla mecanica
